brand,modelName,fuelType,fuelEfficiency
BMW,120I,GASOLINE,11.0
BMW,218D,DIESEL,16.0
BMW,220I,GASOLINE,11.4
BMW,320D,DIESEL,14.4
BMW,320I,GASOLINE,11.6
BMW,420D,DIESEL,15.0
BMW,420I,GASOLINE,11.7
BMW,430I,GASOLINE,11.2
BMW,520I,GASOLINE,12.1
BMW,523D,DIESEL,14.2
BMW,530I,GASOLINE,11.4
BMW,620D,DIESEL,13.4
BMW,630I,GASOLINE,9.3
BMW,640I,GASOLINE,9.6
BMW,740D,DIESEL,12.5
BMW,740I,GASOLINE,10.5
BMW,M2,GASOLINE,8.5
BMW,M3,GASOLINE,8.1
BMW,M4,GASOLINE,8.2
BMW,M5,GASOLINE,4.6
BMW,M8,GASOLINE,7.4
BMW,X1,GASOLINE,11.6
BMW,X2,GASOLINE,11.0
BMW,X3,GASOLINE,10.0
BMW,X4,GASOLINE,10.6
BMW,X5,GASOLINE,8.8
BMW,X6,GASOLINE,9.1
BMW,X7,GASOLINE,8.5
BMW,XM,GASOLINE,2.0
BMW,Z4,GASOLINE,10.4
기아,K3,GASOLINE,13.5
기아,K5,GASOLINE,12.7
기아,K5,LPG,9.8
기아,K5,HYBRID,18.6
기아,K8,GASOLINE,10.5
기아,K8,LPG,7.9
기아,K8,HYBRID,17.4
기아,K9,GASOLINE,8.5
기아,니로,HYBRID,19.5
기아,레이,GASOLINE,12.9
기아,레이,LPG,10.5
기아,모닝,GASOLINE,15.1
기아,모하비,DIESEL,9.4
기아,봉고,GASOLINE,8.8
기아,봉고,LPG,6.5
기아,봉고,DIESEL,9.5
기아,셀토스,GASOLINE,11.9
기아,셀토스,DIESEL,16.0
기아,스포티지,GASOLINE,11.4
기아,스포티지,LPG,8.9
기아,스포티지,DIESEL,13.9
기아,스포티지,HYBRID,15.8
기아,쏘렌토,GASOLINE,10.0
기아,쏘렌토,DIESEL,13.5
기아,쏘렌토,HYBRID,14.4
기아,카니발,GASOLINE,8.8
기아,카니발,DIESEL,12.4
기아,카니발,HYBRID,13.8
벤츠,A 220,GASOLINE,11.6
벤츠,C 200,GASOLINE,11.3
벤츠,C 300,GASOLINE,11.8
벤츠,CLA 250,GASOLINE,11.5
벤츠,CLE 200,GASOLINE,12.1
벤츠,CLE 450,GASOLINE,10.9
벤츠,CLS 300 D,DIESEL,13.9
벤츠,CLS 450,GASOLINE,9.8
벤츠,E 220 D,DIESEL,16.0
벤츠,E 250,GASOLINE,10.1
벤츠,E 300,GASOLINE,11.6
벤츠,E 350,GASOLINE,10.2
벤츠,E 450,GASOLINE,9.5
벤츠,GLA 250,GASOLINE,10.5
벤츠,GLB 250,GASOLINE,10.5
벤츠,GLC 300,GASOLINE,10.8
벤츠,GLE 300 D,DIESEL,11.6
벤츠,GLE 450,GASOLINE,8.8
벤츠,GLS 580,GASOLINE,6.6
벤츠,S 350 D,DIESEL,12.0
벤츠,S 450,GASOLINE,9.6
벤츠,S 500,GASOLINE,9.1
벤츠,S 580,GASOLINE,7.9
아우디,A3,GASOLINE,13.0
아우디,A4,GASOLINE,11.5
아우디,A4,DIESEL,16.0
아우디,A5,GASOLINE,11.0
아우디,A6,GASOLINE,10.8
아우디,A6,DIESEL,13.9
아우디,A7,GASOLINE,9.5
아우디,A7,DIESEL,12.5
아우디,A8,GASOLINE,8.3
아우디,A8,DIESEL,11.0
아우디,Q3,GASOLINE,10.0
아우디,Q3,DIESEL,14.5
아우디,Q5,GASOLINE,9.8
아우디,Q5,DIESEL,12.5
아우디,Q7,GASOLINE,7.5
아우디,Q7,DIESEL,10.5
아우디,Q8,GASOLINE,7.8
아우디,Q8,DIESEL,10.5
아우디,S5,GASOLINE,9.2
제네시스,G70,GASOLINE,9.8
제네시스,G70,DIESEL,14.9
제네시스,G80,GASOLINE,9.3
제네시스,G80,DIESEL,13.4
제네시스,G90,GASOLINE,8.5
제네시스,GV70,GASOLINE,9.4
제네시스,GV70,DIESEL,12.7
제네시스,GV80,GASOLINE,8.6
제네시스,GV80,DIESEL,11.0
현대,그랜저,GASOLINE,10.3
현대,그랜저,LPG,7.5
현대,그랜저,HYBRID,17.2
현대,베뉴,GASOLINE,13.5
현대,스타리아,GASOLINE,12.5
현대,스타리아,LPG,6.7
현대,스타리아,DIESEL,11.0
현대,스타리아,HYBRID,12.6
현대,싼타페,GASOLINE,10.5
현대,싼타페,DIESEL,13.5
현대,싼타페,HYBRID,15.3
현대,쏘나타,GASOLINE,12.7
현대,쏘나타,LPG,9.7
현대,쏘나타,HYBRID,18.6
현대,아반떼,GASOLINE,13.6
현대,아반떼,DIESEL,17.8
현대,아반떼,LPG,10.5
현대,아반떼,HYBRID,20.0
현대,캐스퍼,GASOLINE,13.0
현대,코나,GASOLINE,12.5
현대,코나,HYBRID,19.8
현대,투싼,GASOLINE,11.8
현대,투싼,DIESEL,13.9
현대,투싼,HYBRID,16.2
현대,팰리세이드,GASOLINE,9.0
현대,팰리세이드,DIESEL,11.8
현대,포터,GASOLINE,6.5
현대,포터,LPG,6.5
현대,포터,DIESEL,9.1
